"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg"
"73","IL","$35,000 - $49,999",30.7,0.150956937799043,4.63437799043062,47.8,0.151405912040375,7.23720259552992,27.8,0.150612150612151,4.18701778701779,18.5,0.150916104146577,2.79194792671167,37,0.150153700638449,5.55568692362261,21.5,0.151623686723973,3.25990926456543
"74","IL","$50,000 - $74,999",31,0.164354066985646,5.09497607655502,52.6,0.164864215332853,8.67185772650805,31.6,0.164934164934165,5.21191961191961,21.4,0.164898746383799,3.52883317261331,37.1,0.165523764483329,6.14093166233152,22.5,0.165472779369628,3.72313753581662
"75","IL","$75,000 or greater",38.5,0.410526315789474,15.8052631578947,57,0.408795962509012,23.3013698630137,28.4,0.402864402864403,11.441349041349,27.6,0.409594985535198,11.3048216007715,34.8,0.408607235753133,14.219531804209,19.3,0.409264565425024,7.89880611270296
"76","IN","$15,000 - $24,999",24.5,0.193952279707064,4.75183085282306,39,0.190854392298436,7.44332129963899,34,0.195177434030937,6.63603275705186,14.1,0.19047619047619,2.68571428571429,44.9,0.190977092099112,8.57487143525012,35.9,0.189819219790676,6.81450999048525
"77","IN","$25,000 - $34,999",20.4,0.121426884006615,2.47710843373494,38.4,0.121058965102286,4.6486642599278,38.1,0.123521383075523,4.70616469517743,10.3,0.120991253644315,1.24620991253644,43.8,0.121084618980832,5.30350631136045,32.2,0.120837297811608,3.89096098953378
"78","IN","$35,000 - $49,999",24.8,0.184266477675408,4.56980864635011,39.5,0.186281588447653,7.35812274368231,29.6,0.185395814376706,5.4877161055505,13.6,0.185131195335277,2.51778425655977,43,0.18560074801309,7.98083216456288,27.4,0.185775451950523,5.09024738344434
"79","IN","$50,000 - $74,999",29.5,0.18781006378455,5.54039688164422,47.9,0.187003610108303,8.95747292418772,33.9,0.184713375796178,6.26178343949045,16.5,0.188289601554908,3.10677842565598,44.1,0.186769518466573,8.23653576437588,20.7,0.188867745004757,3.90956232159848
"80","IN","$75,000 or greater",35.8,0.312544294826364,11.1890857547838,53.1,0.314801444043321,16.7159566787004,28.4,0.311191992720655,8.83785259326661,22.4,0.31511175898931,7.05850340136054,36.9,0.315568022440393,11.6444600280505,18.2,0.314700285442436,5.72754519505233
"81","KS","$15,000 - $24,999",25.7,0.166988838311405,4.29161314460311,43.2,0.16700353713997,7.21455280444669,37.7,0.16799758015729,6.33350877192983,15.9,0.165902140672783,2.63784403669725,47,0.16737984496124,7.86685271317829,26.3,0.166056088933805,4.36727513895907
"82","KS","$25,000 - $34,999",24.7,0.120034919249236,2.96486250545613,45.2,0.11899949469429,5.37877716018191,38,0.11978221415608,4.55172413793103,16.5,0.119074923547401,1.96473623853211,46.8,0.119317829457364,5.58407441860465,23.2,0.119567963617989,2.77397675593734
"83","KS","$35,000 - $49,999",30.1,0.171104321257093,5.1502400698385,51.1,0.170919656392117,8.73399444163719,37.3,0.172474289171204,6.4332909860859,20.9,0.170871559633028,3.57121559633027,44.6,0.171720930232558,7.65875348837209,23.1,0.170351187468418,3.93511243052047
"84","KS","$50,000 - $74,999",29.7,0.199102076448214,5.91333167051194,52.7,0.198585144012127,10.4654370894391,34.3,0.197580157289776,6.77699939503932,20.1,0.198585626911315,3.99157110091743,43.2,0.198139534883721,8.55962790697675,17.5,0.199974734714502,3.49955785750379
"85","KS","$75,000 or greater",34.5,0.342769844734053,11.8255596433248,58.4,0.344492167761496,20.1183425972714,31,0.34216575922565,10.6071385359952,23.9,0.345565749235474,8.25902140672783,39.1,0.343441860465116,13.428576744186,16.3,0.344050025265285,5.60801541182415
"86","KY","$15,000 - $24,999",24.3,0.155272305909618,3.77311703360371,38.7,0.153520131857782,5.94122910289616,41.2,0.15625,6.4375,9.9,0.153353875325907,1.51820336572648,51.8,0.154639175257732,8.01030927835052,25.2,0.155192532088681,3.91085180863477
"87","KY","$25,000 - $34,999",25.6,0.137427578215527,3.5181460023175,42.8,0.136566988462444,5.84506710619261,39,0.138714028776978,5.40984712230216,16.3,0.136999288931026,2.23308840957573,47.6,0.138831615120275,6.60838487972509,29.7,0.135355892648775,4.02007001166861
"88","KY","$35,000 - $49,999",28.8,0.164774044032445,4.74549246813442,42.1,0.165764068754415,6.97866729456087,33.6,0.16591726618705,5.57482014388489,16,0.164730978904954,2.63569566247926,49.4,0.167010309278351,8.25030927835051,23.3,0.164994165694282,3.84436406067678
"89","KY","$50,000 - $74,999",28.2,0.215758980301275,6.08440324449594,45.4,0.216152578290558,9.81332705439134,35.7,0.213803956834532,7.63280125899281,18.3,0.216639013984356,3.96449395591372,48.9,0.212600229095074,10.3961512027491,22.7,0.21610268378063,4.9055309218203
"90","KY","$75,000 or greater",36.2,0.326767091541136,11.8289687137891,59.6,0.327996232634801,19.5485754650341,35.4,0.325314748201439,11.5161420863309,26.5,0.328276842853757,8.69933633562455,39.6,0.326918671248568,12.9459793814433,14.6,0.328354725787631,4.79397899649942
"91","LA","$15,000 - $24,999",22.1,0.239754098360656,5.29856557377049,41.2,0.23841059602649,9.82251655629139,41.3,0.24385447394297,10.0711897738446,15.1,0.23775977456851,3.5901725959845,49.5,0.240095628415301,11.8847336065574,39.6,0.239265927977839,9.47493074792244
"92","LA","$25,000 - $34,999",21.3,0.127390710382514,2.71342213114754,46.3,0.125479261066574,5.80968978738236,40,0.129793510324484,5.19174041297935,15.6,0.126100739697076,1.96717153927439,40.6,0.127390710382514,5.17206284153005,30.2,0.125,3.775
"93","LA","$35,000 - $49,999",27.3,0.159153005464481,4.34487704918033,47.1,0.156151969327292,7.35475775531544,35.8,0.15732546705998,5.63225172074729,19.9,0.156745332863684,3.11923212398732,55.1,0.156762295081967,8.63760245901639,30.4,0.157202216066482,4.77894736842105
"94","LA","$50,000 - $74,999",31.8,0.161885245901639,5.14795081967213,50.4,0.163820146392471,8.25653537818055,34.2,0.160603080957063,5.49262536873156,20.9,0.163085593518845,3.40848890454385,47.1,0.162568306010929,7.65696721311475,24.6,0.163781163434903,4.02901662049861
"95","LA","$75,000 or greater",32.2,0.31181693989071,10.0405054644809,51.9,0.316138027187173,16.4075636110143,32.7,0.308423467715503,10.085447394297,21.8,0.316308559351884,6.89552659387108,53.6,0.31318306010929,16.7866120218579,21.6,0.314750692520776,6.79861495844875
"96","MA","$15,000 - $24,999",24.5,0.160242005185825,3.92592912705272,44.2,0.160519845451352,7.09497716894977,30.1,0.165161714004269,4.97136759152848,16.5,0.159099034680014,2.62513407222024,33.5,0.157921635434412,5.29037478705281,26.6,0.158204817189395,4.20824813723791
"97","MA","$25,000 - $34,999",25.7,0.0980121002592913,2.51891097666379,39.2,0.097119775201967,3.80709518791711,28.7,0.0993268757182729,2.85068133311443,16.4,0.0977833392920987,1.60364676439042,30.3,0.0984667802385008,2.98354344122658,23.5,0.0953041067405996,2.23964650840409
